"","City","State","CityState"
"79","Baltimore","MD","Baltimore, MD"
"80","Pensacola","FL","Pensacola, FL"
"81","Homewood","IL","Homewood, IL"
"82","Seattle","WA","Seattle, WA"
"83","Harrisburg","PA","Harrisburg, PA"
"84","Craig","MO","Craig, MO"
"85","Jacksonville","FL","Jacksonville, FL"
"86","Hickory","NC","Hickory, NC"
"87","Section","AL","Section, AL"
"88","Fort Worth/Haltom City","TX","Fort Worth/Haltom City, TX"
"89","Pryor Creek","OK","Pryor Creek, OK"
"90","­Fillmore","CA","­Fillmore, CA"
"91","Harvest","AL","Harvest, AL"
"92","Augusta","GA","Augusta, GA"
"93","Copperas Cove","TX","Copperas Cove, TX"
"94","Harlingen","TX","Harlingen, TX"
"95","Midland City","AL","Midland City, AL"
"96","Spokane","WA","Spokane, WA"
"97","Pocahontas","AR","Pocahontas, AR"
"98","Bladensburg","MD","Bladensburg, MD"
"99","Visalia","CA","Visalia, CA"
"100","Las Vegas","NV","Las Vegas, NV"
"101","Fort Worth","TX","Fort Worth, TX"
"102","Dowling","MI","Dowling, MI"
"103","Dallas","TX","Dallas, TX"
"104","Dayton","OH","Dayton, OH"
"105","Temecula","CA","Temecula, CA"
"106","Williamston","SC","Williamston, SC"
"107","St. Paul","MN","St. Paul, MN"
"108","South Lyon","MI","South Lyon, MI"
"109","Indio","CA","Indio, CA"
"110","Monterey Park","CA","Monterey Park, CA"
"111","Grapevine","TX","Grapevine, TX"
"112","Tulsa","OK","Tulsa, OK"
"113","Jamestown","NY","Jamestown, NY"
"114","Portland","OR","Portland, OR"
"115","Alexandria","VA","Alexandria, VA"
"116","Brighton","MI","Brighton, MI"
"117","Sacramento","CA","Sacramento, CA"
"118","Warminster","PA","Warminster, PA"
"119","Anchorage","AK","Anchorage, AK"
"120","Fort Wayne","IN","Fort Wayne, IN"
"121","Long Beach","CA","Long Beach, CA"
"122","Conewago","PA","Conewago, PA"
"123","Manchester","PA","Manchester, PA"
"124","Allentown","PA","Allentown, PA"
"125","San Antonio","TX","San Antonio, TX"
"126","Springfield","MO","Springfield, MO"
"127","South River","NJ","South River, NJ"
"128","Sparks","NV","Sparks, NV"
"129","Stockton","CA","Stockton, CA"
"130","Los Angeles","CA","Los Angeles, CA"
"131","Norwich","CT","Norwich, CT"
"132","Riverside","CA","Riverside, CA"
"133","Kaysville","UT","Kaysville, UT"
"134","Silverton","OR","Silverton, OR"
"135","Columbia","SC","Columbia, SC"
"136","Santa Cruz","CA","Santa Cruz, CA"
"137","Guerneville","CA","Guerneville, CA"
"138","El Paso","TX","El Paso, TX"
"139","Austin","TX","Austin, TX"
"140","Oklahoma City","OK","Oklahoma City, OK"
"141","Union City","CA","Union City, CA"
"142","San Francisco","CA","San Francisco, CA"
"143","San Jose","CA","San Jose, CA"
"144","Kelso","WA","Kelso, WA"
"145","Ft. Lauderdale","FL","Ft. Lauderdale, FL"
"146","Hayward","CA","Hayward, CA"
"147","Concord","NC","Concord, NC"
"148","Albuquerque","NM","Albuquerque, NM"
"149","North Hudson","NY","North Hudson, NY"
"150","New Market","TN","New Market, TN"
"151","Columbus","GA","Columbus, GA"
"152","Sunnyside","WA","Sunnyside, WA"
"153","Jersey City","NJ","Jersey City, NJ"
"154","Boca Raton","FL","Boca Raton, FL"
"155","Navarre","FL","Navarre, FL"
"156","Abita Springs","LA","Abita Springs, LA"
"157","Kathleen","GA","Kathleen, GA"
"158","New York","NY","New York, NY"
"159","Newark","NJ","Newark, NJ"
"160","Saint Petersburg","FL","Saint Petersburg, FL"
"161","Middlefield","OH","Middlefield, OH"
"162","North Liberty","IA","North Liberty, IA"
"163","Southfield","MI","Southfield, MI"
"164","Miami","FL","Miami, FL"
"165","Valentine","NE","Valentine, NE"
"166","Willimantic","CT","Willimantic, CT"
"167","Martinsburg","WV","Martinsburg, WV"
"168","Del Valle","TX","Del Valle, TX"
"169","Bloomington","IL","Bloomington, IL"
"170","Cleveland","MS","Cleveland, MS"
"171","Addison","TX","Addison, TX"
"172","Chubbuck","ID","Chubbuck, ID"
"173","Herkimer","NY","Herkimer, NY"
"174","Roswell","GA","Roswell, GA"
"175","Paxtonia","PA","Paxtonia, PA"
"176","American Canyon","CA","American Canyon, CA"
"177","Ontario","CA","Ontario, CA"
"178","Pomona","CA","Pomona, CA"
"179","Solon","OH","Solon, OH"
"180","Waco","TX","Waco, TX"
"181","Orangeburg","SC","Orangeburg, SC"
"182","East Hazel Crest","IL","East Hazel Crest, IL"
"183","Deatsville","AL","Deatsville, AL"
"184","Modesto","CA","Modesto, CA"
"185","Maryville","TN","Maryville, TN"
"186","Decatur","TX","Decatur, TX"
"187","Huntington Beach","CA","Huntington Beach, CA"
"188","Hebbronville","TX","Hebbronville, TX"
"189","Castro Valley","CA","Castro Valley, CA"
"190","West Palm Beach","FL","West Palm Beach, FL"
"191","Enid","OK","Enid, OK"
"192","Lancaster","TX","Lancaster, TX"
"193","Phenix City","AL","Phenix City, AL"
"194","Carlsbad","NM","Carlsbad, NM"
"195","Rocky Face","GA","Rocky Face, GA"
"196","Coshocton","OH","Coshocton, OH"
"197","Scottsdale","AZ","Scottsdale, AZ"
"198","Hoquiam","WA","Hoquiam, WA"
"199","Rawlings","MD","Rawlings, MD"
"200","Willard","UT","Willard, UT"
"201","Walpole","NH","Walpole, NH"
"202","Delano","CA","Delano, CA"
"203","Oakland","CA","Oakland, CA"
"204","The Woodlands","TX","The Woodlands, TX"
"205","Tarboro","NC","Tarboro, NC"
"206","Raleigh","NC","Raleigh, NC"
"207","Hot Sulphur Springs","CO","Hot Sulphur Springs, CO"
"208","Pembroke Pines","FL","Pembroke Pines, FL"
"209","Bridgeport","CT","Bridgeport, CT"
"210","Bryant","AR","Bryant, AR"
"211","Indianapolis","IN","Indianapolis, IN"
"212","Detroit","MI","Detroit, MI"
"213","Champion","MI","Champion, MI"
"214","Fairview","AK","Fairview, AK"
"215","Crowley","LA","Crowley, LA"
"216","Fontana","CA","Fontana, CA"
"217","Westfield","MA","Westfield, MA"
"218","Westbrook","CT","Westbrook, CT"
"219","Richardson","TX","Richardson, TX"
"220","Baton Rouge","LA","Baton Rouge, LA"
"221","Washington","DC","Washington, DC"
"222","Lynwood","CA","Lynwood, CA"
"223","Celina","OH","Celina, OH"
"224","Christiansburg","VA","Christiansburg, VA"
"225","Suwanee","GA","Suwanee, GA"
"226","Cottonwood","AZ","Cottonwood, AZ"
"227","Rapidan","VA","Rapidan, VA"
"228","Red Bluff","CA","Red Bluff, CA"
"229","Alpharetta","GA","Alpharetta, GA"
"230","Joplin","MO","Joplin, MO"
"231","Bear Valley Springs","CA","Bear Valley Springs, CA"
"232","Genesee Township","MI","Genesee Township, MI"
"233","Three Rivers","TX","Three Rivers, TX"
"234","Warrensburg","MO","Warrensburg, MO"
"235","Coal City","WV","Coal City, WV"
"236","Holland","PA","Holland, PA"
"237","Watertown","MA","Watertown, MA"
"238","Stafford","VA","Stafford, VA"
"239","Westfield Boro","PA","Westfield Boro, PA"
"240","Glendale","AZ","Glendale, AZ"
"241","Menasha","WI","Menasha, WI"
"242","Gaithersburg","MD","Gaithersburg, MD"
"243","Crystal Springs","MS","Crystal Springs, MS"
"244","Apache Junction","AZ","Apache Junction, AZ"
"245","Federal Way","WA","Federal Way, WA"
"246","Norcross","GA","Norcross, GA"
"247","Longwood","FL","Longwood, FL"
"248","Calumet City","IL","Calumet City, IL"
"249","Pleasantville","NJ","Pleasantville, NJ"
"250","Merritt Island","FL","Merritt Island, FL"
"251","Manchester","IL","Manchester, IL"
"252","Milwaukee","WI","Milwaukee, WI"
"253","Garden Grove","CA","Garden Grove, CA"
"254","Little Rock","AR","Little Rock, AR"
"255","San Fernando","CA","San Fernando, CA"
"256","Atascocita","TX","Atascocita, TX"
"257","Athens","CA","Athens, CA"
"258","Frog","TX","Frog, TX"
"259","Miramar","FL","Miramar, FL"
"260","Lexington","KY","Lexington, KY"
"261","Melbourne","AR","Melbourne, AR"
"262","St. Petersburg","FL","St. Petersburg, FL"
"263","Vincennes","IN","Vincennes, IN"
"264","Homerville","GA","Homerville, GA"
"265","Coeburn","VA","Coeburn, VA"
"266","Tularosa","NM","Tularosa, NM"
"267","Vernal","UT","Vernal, UT"
"268","San Leon","TX","San Leon, TX"
"269","Paris","TX","Paris, TX"
"270","Schenectady","NY","Schenectady, NY"
"271","Pawtucket","RI","Pawtucket, RI"
"272","Warren","OR","Warren, OR"
"273","Stringtown","OK","Stringtown, OK"
"274","Escondido","CA","Escondido, CA"
"275","Suisun City","CA","Suisun City, CA"
"276","Leesburg","FL","Leesburg, FL"
"277","Great Falls","MT","Great Falls, MT"
"278","Lake City","FL","Lake City, FL"
"279","San Bernardino","CA","San Bernardino, CA"
"280","Deland","FL","Deland, FL"
"281","Eureka","MO","Eureka, MO"
"282","Longview","TX","Longview, TX"
"283","Minneapolis","MN","Minneapolis, MN"
"284","Richmond","IL","Richmond, IL"
"285","Plainfield","IN","Plainfield, IN"
"286","Antioch","CA","Antioch, CA"
"287","Cudahy","CA","Cudahy, CA"
"288","Stromsburg","NE","Stromsburg, NE"
"289","Trenton","NJ","Trenton, NJ"
"290","Oakville","MO","Oakville, MO"
"291","Buford","GA","Buford, GA"
"292","Paramount","CA","Paramount, CA"
"293","Brandon","FL","Brandon, FL"
"294","Clintonville","OH","Clintonville, OH"
"295","Springfield","MA","Springfield, MA"
"296","Hartford","CT","Hartford, CT"
"297","Pacoima","CA","Pacoima, CA"
"298","Akron","OH","Akron, OH"
"299","Nine Mile Falls","WA","Nine Mile Falls, WA"
"300","Uniondale","NY","Uniondale, NY"
"301","Alhambra","CA","Alhambra, CA"
"302","Madison","WI","Madison, WI"
"303","Montebello","CA","Montebello, CA"
"304","Inglewood","CA","Inglewood, CA"
"305","Blytheville","AR","Blytheville, AR"
"306","Evanston","WY","Evanston, WY"
"307","Eden","TX","Eden, TX"
"308","Clifton","TX","Clifton, TX"
"309","Three Way","TX","Three Way, TX"
"310","Williamsburg","VA","Williamsburg, VA"
"311","Norfolk","VA","Norfolk, VA"
"312","Sutton-Alpine","AK","Sutton-Alpine, AK"
"313","Compton","CA","Compton, CA"
"314","Toledo","OH","Toledo, OH"
"315","Worden","MT","Worden, MT"
"316","Ridgefield","CT","Ridgefield, CT"
"317","Mt. Morris Township","MI","Mt. Morris Township, MI"
"318","Washington Terrace","UT","Washington Terrace, UT"
"319","New Rochelle","NY","New Rochelle, NY"
"320","Upper Darby","PA","Upper Darby, PA"
"321","Salida","CO","Salida, CO"
"322","Crossville","TN","Crossville, TN"
"323","Helena","MT","Helena, MT"
"324","Sterling","VA","Sterling, VA"
"325","Mesa","AZ","Mesa, AZ"
"326","Atlanta","GA","Atlanta, GA"
"327","Broad Creek","NC","Broad Creek, NC"
"328","Selma","AL","Selma, AL"
"329","South Bend","IN","South Bend, IN"
"330","Gardena","CA","Gardena, CA"
"331","Dorchester","MA","Dorchester, MA"
"332","Pine","CO","Pine, CO"
"333","Waimanalo","HI","Waimanalo, HI"
"334","Huron","CA","Huron, CA"
"335","Red Feather Lakes","CO","Red Feather Lakes, CO"
"336","Flint","MI","Flint, MI"
"337","Mad River","CA","Mad River, CA"
"338","San Jacinto","CA","San Jacinto, CA"
"339","Vallejo","CA","Vallejo, CA"
"340","Fallbrook","CA","Fallbrook, CA"
"341","White Marsh","MD","White Marsh, MD"
"342","Highland Park","TX","Highland Park, TX"
"343","St. Albans","NY","St. Albans, NY"
"344","Bonham","TX","Bonham, TX"
"345","Yuba City","CA","Yuba City, CA"
"346","Santa Monica","CA","Santa Monica, CA"
"347","Jonesboro","GA","Jonesboro, GA"
"348","Acworth","GA","Acworth, GA"
"349","Reno","NV","Reno, NV"
"350","Hobe Sound","FL","Hobe Sound, FL"
"351","San Angelo","TX","San Angelo, TX"
"352","Millersville","MD","Millersville, MD"
"353","Wilmer","AL","Wilmer, AL"
"354","Perris","CA","Perris, CA"
"355","Windsor","CA","Windsor, CA"
"356","Bradenton","FL","Bradenton, FL"
"357","Afton","VA","Afton, VA"
"358","Hampden","ME","Hampden, ME"
"359","Paden","OK","Paden, OK"
"360","Meriden","CT","Meriden, CT"
"361","Thornton","IL","Thornton, IL"
"362","Sardis","GA","Sardis, GA"
"363","Lancaster","PA","Lancaster, PA"
"364","Beloit","WI","Beloit, WI"
"365","Duluth","MN","Duluth, MN"
"366","Orange","CA","Orange, CA"
"367","Mullan","ID","Mullan, ID"
"368","Huntsville","AL","Huntsville, AL"
"369","Randolph","MA","Randolph, MA"
"370","Gainesville","FL","Gainesville, FL"
"371","Fruita","CO","Fruita, CO"
"372","West Columbia","SC","West Columbia, SC"
"373","Midwest City","OK","Midwest City, OK"
"374","Round Rock","TX","Round Rock, TX"
"375","Montgomery","IN","Montgomery, IN"
"376","Fremont","CA","Fremont, CA"
"377","Salem","CT","Salem, CT"
"378","Nacogdoches","TX","Nacogdoches, TX"
"379","Lakewood","WA","Lakewood, WA"
"380","Irving","TX","Irving, TX"
"381","Shreveport","LA","Shreveport, LA"
"382","Lynnwood","WA","Lynnwood, WA"
"383","Knoxville","TN","Knoxville, TN"
"384","La Puente","CA","La Puente, CA"
"385","Roseburg","OR","Roseburg, OR"
"386","Lexington","MS","Lexington, MS"
"387","Cape Coral","FL","Cape Coral, FL"
"388","Jurupa Valley","CA","Jurupa Valley, CA"
"389","Maysel","WV","Maysel, WV"
"390","Liberty Township","MN","Liberty Township, MN"
"391","Hemet","CA","Hemet, CA"
"392","Littlerock","CA","Littlerock, CA"
"393","Jacksonville","AR","Jacksonville, AR"
"394","Granbury","TX","Granbury, TX"
"395","Uniontown","PA","Uniontown, PA"
"396","Vacaville","CA","Vacaville, CA"
"397","Yucaipa","CA","Yucaipa, CA"
"398","Shirley","NY","Shirley, NY"
"399","Town of Pound","WI","Town of Pound, WI"
"400","Oroville","CA","Oroville, CA"
"401","Redmond","OR","Redmond, OR"
"402","Las Cruces","NM","Las Cruces, NM"
"403","Ashland","MA","Ashland, MA"
"404","Malvern","AR","Malvern, AR"
"405","Orange","MA","Orange, MA"
"406","Boardman","OH","Boardman, OH"
"407","Calais","ME","Calais, ME"
"408","Arlington","TX","Arlington, TX"
"409","Gilford Township","MI","Gilford Township, MI"
"410","Des Moines","IA","Des Moines, IA"
"411","Craigsville","WV","Craigsville, WV"
"412","Louisville","KY","Louisville, KY"
"413","Amarillo","TX","Amarillo, TX"
"414","Norco","CA","Norco, CA"
"415","Buckner","IL","Buckner, IL"
"416","Sewickley","PA","Sewickley, PA"
"417","Panama City","FL","Panama City, FL"
"418","Brush Valley","PA","Brush Valley, PA"
"419","Pooler","GA","Pooler, GA"
"420","Batavia Township","IL","Batavia Township, IL"
"421","Belleville","NJ","Belleville, NJ"
"422","Yuma","AZ","Yuma, AZ"
"423","Cabazon","CA","Cabazon, CA"
"424","Hazelwood","MO","Hazelwood, MO"
"425","Loma","CO","Loma, CO"
"426","St. Cloud","FL","St. Cloud, FL"
"427","Wichita","KS","Wichita, KS"
"428","Oak View","CA","Oak View, CA"
"429","Needham","IN","Needham, IN"
"430","Lafayette","LA","Lafayette, LA"
"431","Killeen","TX","Killeen, TX"
"432","St. Louis Park","MN","St. Louis Park, MN"
"433","Oil Springs","KY","Oil Springs, KY"
"434","Oil CIty","PA","Oil CIty, PA"
"435","Anderson","CA","Anderson, CA"
"436","Alameda","CA","Alameda, CA"
"437","Fairfield","CA","Fairfield, CA"
"438","St. Regis","MT","St. Regis, MT"
"439","Latrobe","PA","Latrobe, PA"
"440","Whittier","CA","Whittier, CA"
"441","Powder Springs","GA","Powder Springs, GA"
"442","Cockeysville","MD","Cockeysville, MD"
"443","Wilson","NC","Wilson, NC"
"444","Grand Forks","ND","Grand Forks, ND"
"445","Wilmington","DE","Wilmington, DE"
"446","Coralville","IA","Coralville, IA"
"447","Tempe","AZ","Tempe, AZ"
"448","Cincinnati","OH","Cincinnati, OH"
"449","Monroe","NC","Monroe, NC"
"450","Middle Island","NY","Middle Island, NY"
"451","Salinas","CA","Salinas, CA"
"452","Albany","TX","Albany, TX"
"453","Durham","NC","Durham, NC"
"454","Hialeah","FL","Hialeah, FL"
"455","Wernersville","PA","Wernersville, PA"
"456","Gila Bend","AZ","Gila Bend, AZ"
"457","Garland","TX","Garland, TX"
"458","Massillon","OH","Massillon, OH"
"459","Bonita Springs","FL","Bonita Springs, FL"
"460","Hamilton","AL","Hamilton, AL"
"461","Winfield","AL","Winfield, AL"
"462","Topeka","KS","Topeka, KS"
"463","Avondale","AZ","Avondale, AZ"
"464","Orting","WA","Orting, WA"
"465","Benton","AR","Benton, AR"
"466","New Orleans","LA","New Orleans, LA"
"467","Yellow Springs","OH","Yellow Springs, OH"
"468","Fort Lauderdale","FL","Fort Lauderdale, FL"
"469","Conroe","TX","Conroe, TX"
"470","Bronx","NY","Bronx, NY"
"471","Sandia Park","NM","Sandia Park, NM"
"472","Miami Beach","FL","Miami Beach, FL"
"473","Boston","MA","Boston, MA"
"474","Huntington","TX","Huntington, TX"
"475","Sunnyvale","CA","Sunnyvale, CA"
"476","Hammond","IN","Hammond, IN"
"477","Carrollton","VA","Carrollton, VA"
"478","New Port Richey","FL","New Port Richey, FL"
"479","Cascade","ID","Cascade, ID"
"480","Florence","AL","Florence, AL"
"481","Poplar Grove","IL","Poplar Grove, IL"
"482","Hollywood","FL","Hollywood, FL"
"483","Manheim","PA","Manheim, PA"
"484","St. Joseph","LA","St. Joseph, LA"
"485","Keene","NH","Keene, NH"
"486","Gloster","MS","Gloster, MS"
"487","Fort Ripley","MN","Fort Ripley, MN"
"488","Middlesboro","KY","Middlesboro, KY"
"489","Redondo Beach","CA","Redondo Beach, CA"
"490","Hillsboro","KY","Hillsboro, KY"
"491","Līhuʻe","HI","Līhuʻe, HI"
"492","Kingman","AZ","Kingman, AZ"
"493","Vermont Square","CA","Vermont Square, CA"
"494","Grindstone Township","ME","Grindstone Township, ME"
"495","Bel Air","MD","Bel Air, MD"
"496","South Pasadena","CA","South Pasadena, CA"
"497","Cedartown","GA","Cedartown, GA"
"498","Bluff City","TN","Bluff City, TN"
"499","Charleston","SC","Charleston, SC"
"500","Jefferson City","TN","Jefferson City, TN"
"501","Goldonna","LA","Goldonna, LA"
"502","Troy","OH","Troy, OH"
"503","Henderson","NV","Henderson, NV"
"504","Hopewell Junction","NY","Hopewell Junction, NY"
"505","Klamath Falls","OR","Klamath Falls, OR"
"506","Louisville","TN","Louisville, TN"
"507","Buckley","WA","Buckley, WA"
"508","Desert Hot Springs","CA","Desert Hot Springs, CA"
"509","Brooklyn Center","MN","Brooklyn Center, MN"
"510","Danvers","MA","Danvers, MA"
"511","Fort Morgan","CO","Fort Morgan, CO"
"512","San Marcos","CA","San Marcos, CA"
"513","Simi Valley","CA","Simi Valley, CA"
"514","Grovetown","GA","Grovetown, GA"
"515","Coeur d'Alene","ID","Coeur d'Alene, ID"
"516","Catonsville","MD","Catonsville, MD"
"517","Biggs Junction","OR","Biggs Junction, OR"
"518","Springfield","VA","Springfield, VA"
"519","Cleveland","OH","Cleveland, OH"
"520","Sisters","OR","Sisters, OR"
"521","Santa Barbara","CA","Santa Barbara, CA"
"522","Elkhart","IN","Elkhart, IN"
"523","Anderson","SC","Anderson, SC"
"524","Los Banos","CA","Los Banos, CA"
"525","St. Thomas","PA","St. Thomas, PA"
"526","Gray","KY","Gray, KY"
"527","Pinecrest","FL","Pinecrest, FL"
"528","New Britain","CT","New Britain, CT"
"529","Hanover","PA","Hanover, PA"
"530","Tupelo","MS","Tupelo, MS"
"531","Mobile","AL","Mobile, AL"
"532","Lynn","MA","Lynn, MA"
"533","Window Rock","AZ","Window Rock, AZ"
"534","Port Hueneme","CA","Port Hueneme, CA"
"535","Pine Bluff","AR","Pine Bluff, AR"
"536","Jasper","TN","Jasper, TN"
"537","St Petersburg","FL","St Petersburg, FL"
"538","Pittsburg","PA","Pittsburg, PA"
"539","Mabank","TX","Mabank, TX"
"540","Annapolis","MD","Annapolis, MD"
"541","Menifee","CA","Menifee, CA"
"542","Virginia Beach","VA","Virginia Beach, VA"
"543","Judsonia","AR","Judsonia, AR"
"544","Winter Garden","FL","Winter Garden, FL"
"545","Ivanhoe","CA","Ivanhoe, CA"
"546","Culver City","CA","Culver City, CA"
"547","Chico","CA","Chico, CA"
"548","East Bridgewater","MA","East Bridgewater, MA"
"549","Laguna Niguel","CA","Laguna Niguel, CA"
"550","Carson","CA","Carson, CA"
"551","Waelder","TX","Waelder, TX"
"552","Port Orange","FL","Port Orange, FL"
"553","Citronelle","AL","Citronelle, AL"
"554","Big Spring","TX","Big Spring, TX"
"555","Havre de Grace","MD","Havre de Grace, MD"
"556","Grantsville","UT","Grantsville, UT"
"557","Asheville","NC","Asheville, NC"
"558","Manchester","NH","Manchester, NH"
"559","Freeport","TX","Freeport, TX"
"560","Calverton","MD","Calverton, MD"
"561","Irvington","NJ","Irvington, NJ"
"562","Paragould","AR","Paragould, AR"
"563","Sparta","WI","Sparta, WI"
"564","Waycross","GA","Waycross, GA"
"565","Redding","CA","Redding, CA"
"566","Posen","IL","Posen, IL"
"567","Lake Hamilton","AR","Lake Hamilton, AR"
"568","Wenatchee","WA","Wenatchee, WA"
"569","Castaic","CA","Castaic, CA"
"570","Weatherford","TX","Weatherford, TX"
"571","Old Town","ME","Old Town, ME"
"572","Leicester","NC","Leicester, NC"
"573","Wheeling","WV","Wheeling, WV"
"574","Lakeland","FL","Lakeland, FL"
"575","Cedar Hill","MO","Cedar Hill, MO"
"576","Bristol","TN","Bristol, TN"
"577","Moreno Valley","CA","Moreno Valley, CA"
"578","James Island","SC","James Island, SC"
"579","Rochester","NY","Rochester, NY"
"580","Hodgenville","KY","Hodgenville, KY"
"581","Wilmington","NC","Wilmington, NC"
"582","Hazleton","PA","Hazleton, PA"
"583","Lorain","OH","Lorain, OH"
"584","Huber Heights","OH","Huber Heights, OH"
"585","Ozark","AL","Ozark, AL"
"586","Sioux Falls","SD","Sioux Falls, SD"
"587","Eufaula","AL","Eufaula, AL"
"588","Wishram","WA","Wishram, WA"
"589","Eureka","KS","Eureka, KS"
"590","Warren","OH","Warren, OH"
"591","Otay Mesa","CA","Otay Mesa, CA"
"592","Coffeeville","MS","Coffeeville, MS"
"593","Portola","CA","Portola, CA"
"594","Roswell","NM","Roswell, NM"
"595","Leesburg","GA","Leesburg, GA"
"596","Index","WA","Index, WA"
"597","North Port","FL","North Port, FL"
"598","Santa Rosa","CA","Santa Rosa, CA"
"599","San Bruno","CA","San Bruno, CA"
"600","Winnemucca","NV","Winnemucca, NV"
"601","Milford","CT","Milford, CT"
"602","Minnetonka","MN","Minnetonka, MN"
"603","Española","NM","Española, NM"
"604","Weed","CA","Weed, CA"
"605","Dublin","OH","Dublin, OH"
"606","Ridgecrest","CA","Ridgecrest, CA"
"607","Hillsboro","OR","Hillsboro, OR"
"608","Islamorada","FL","Islamorada, FL"
"609","Banning","CA","Banning, CA"
"610","Pearisburg","VA","Pearisburg, VA"
"611","Clearwater","FL","Clearwater, FL"
"612","Drummonds","TN","Drummonds, TN"
"613","Hobbs","NM","Hobbs, NM"
"614","Bellfower","CA","Bellfower, CA"
"615","Duncanville","TX","Duncanville, TX"
"616","Statesboro","GA","Statesboro, GA"
"617","Lexington","SC","Lexington, SC"
"618","Syracuse","NY","Syracuse, NY"
"619","Fort Thompson","SD","Fort Thompson, SD"
"620","Erie","PA","Erie, PA"
"621","Fort Belvoir","VA","Fort Belvoir, VA"
"622","Beaufort","NC","Beaufort, NC"
"623","Butler","GA","Butler, GA"
"624","Gower","MO","Gower, MO"
"625","Enterprise","MS","Enterprise, MS"
"626","Port Arthur","TX","Port Arthur, TX"
"627","Covington","TN","Covington, TN"
"628","Richmond","TX","Richmond, TX"
"629","Miami Gardens","FL","Miami Gardens, FL"
"630","Ames","IA","Ames, IA"
"631","Burlington","VT","Burlington, VT"
"632","Santa Fe","NM","Santa Fe, NM"
"633","Kenner","LA","Kenner, LA"
"634","Columbus","OH","Columbus, OH"
"635","Crestline","CA","Crestline, CA"
"636","Hawthorne","CA","Hawthorne, CA"
"637","Mabelvale","AR","Mabelvale, AR"
"638","Hamilton Township","NJ","Hamilton Township, NJ"
"639","Rosemead","CA","Rosemead, CA"
"640","Wayzata","MN","Wayzata, MN"
